Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1994","1994","ha","147370769","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1994","1994","t","539532737.16","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1995","1995","ha","149583484","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1995","1995","t","547558620.94","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1996","1996","ha","150265162","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1996","1996","t","568848366.98","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1997","1997","ha","151213539","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1997","1997","t","577439520.26","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1998","1998","ha","151707467","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1998","1998","t","579199410.52","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1999","1999","ha","156831412","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1999","1999","t","611539627.07","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2000","2000","ha","153949308","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2000","2000","t","598935232.17","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2001","2001","ha","151968081","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2001","2001","t","600540888.97","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2002","2002","ha","147843628","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2002","2002","t","571377491.47","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2003","2003","ha","148533821","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2003","2003","t","587598346.77","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2004","2004","ha","150672336","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2004","2004","t","607555122.31","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2005","2005","ha","155261150","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2005","2005","t","634565755.72","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2006","2006","ha","155435744","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2006","2006","t","640646849.29","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2007","2007","ha","155057741","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2007","2007","t","655416231.92","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2008","2008","ha","159561325","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2008","2008","t","685818550.98","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2009","2009","ha","156759789","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2009","2009","t","681354130.71","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2010","2010","ha","161047477","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2010","2010","t","696502958.35","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2011","2011","ha","162059670","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2011","2011","t","722077284.07","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2012","2012","ha","161030533","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2012","2012","t","729449466.63","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2013","2013","ha","163509970","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2013","2013","t","736380764.58","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2014","2014","ha","162713145","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2014","2014","t","737836631.75","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2015","2015","ha","160708558","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2015","2015","t","734002126.25","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2016","2016","ha","162522470","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2016","2016","t","740383266.57","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2017","2017","ha","163240538","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2017","2017","t","751026017.88","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2018","2018","ha","163860935","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2018","2018","t","765678570.03","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2019","2019","ha","160342376","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2019","2019","t","753797270.84","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2020","2020","ha","164567189","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2020","2020","t","772544696.78","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2021","2021","ha","166310782","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2021","2021","t","789045342.64","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","2022","2022","ha","165038826","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","2022","2022","t","776461456.61","A","Official figure",""
