Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","1994","1994","ha","99900","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","1994","1994","t","180000","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","1995","1995","ha","114100","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","1995","1995","t","218000","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","1996","1996","ha","157500","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","1996","1996","t","320100","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","1997","1997","ha","174400","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","1997","1997","t","420500","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","1998","1998","ha","218300","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","1998","1998","t","409300","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","1999","1999","ha","269800","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","1999","1999","t","553200","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","2000","2000","ha","476900","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","2000","2000","t","802500","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","2001","2001","ha","473500","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","2001","2001","t","840600","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","2002","2002","ha","492500","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","2002","2002","t","699500","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","2003","2003","ha","480500","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","2003","2003","t","793700","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","2004","2004","ha","479100","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","2004","2004","t","913800","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","2005","2005","ha","483600","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","2005","2005","t","831000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","2006","2006","ha","483200","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","2006","2006","t","985300","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","2007","2007","ha","488900","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","2007","2007","t","1251000","X","Figure from international organizations","Unofficial figure"
