Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1990","1990","ha","6042800","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1990","1990","t","19225104","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1991","1991","ha","6302700","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1991","1991","t","19621904","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1992","1992","ha","6475400","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1992","1992","t","21590304","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1993","1993","ha","6559400","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1993","1993","t","22836600","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1994","1994","ha","6598600","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1994","1994","t","23528300","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1995","1995","ha","6765600","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1995","1995","t","24963700","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1996","1996","ha","7003800","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1996","1996","t","26396700","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1997","1997","ha","7099700","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1997","1997","t","27523900","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1998","1998","ha","7350801","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1998","1998","t","29408143","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","1999","1999","ha","7653600","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","1999","1999","t","31393800","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2000","2000","ha","7666300","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2000","2000","t","32529500","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2001","2001","ha","7492700","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2001","2001","t","32108400","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2002","2002","ha","7504300","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2002","2002","t","34447200","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2003","2003","ha","7452200","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2003","2003","t","34568800","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2004","2004","ha","7445300","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2004","2004","t","36148900","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2005","2005","ha","7329200","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2005","2005","t","35832900","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2006","2006","ha","7324800","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2006","2006","t","35849500","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2007","2007","ha","7207400","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2007","2007","t","35942700","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2008","2008","ha","7400200","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2008","2008","t","38729800","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2009","2009","ha","7437200","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2009","2009","t","38950200","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2010","2010","ha","7489400","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2010","2010","t","40005600","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2011","2011","ha","7655440","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2011","2011","t","42398344","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2012","2012","ha","7761314","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2012","2012","t","43737598","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2013","2013","ha","7902813","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2013","2013","t","44039100","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2014","2014","ha","7816476","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2014","2014","t","44974206","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2015","2015","ha","7828607","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2015","2015","t","45090561.89","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2016","2016","ha","7734722","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2016","2016","t","43112009.81","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2017","2017","ha","7708534","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2017","2017","t","42763682.38","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2018","2018","ha","7570741","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2018","2018","t","44046249.56","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2019","2019","ha","7451544","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2019","2019","t","43495487.58","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2020","2020","ha","7222403","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2020","2020","t","42764999.76","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2021","2021","ha","7219797","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2021","2021","t","43852728.69","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2022","2022","ha","7089024","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2022","2022","t","42672338.69","A","Official figure",""
